School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Escalon High,San Joaquin,Escalon Unified,"1528 East Yosemite Ave. Escalon, CA 95320-1753",(209) 838-7073,"Eric Simoni, (209) 838-7073, esimoni@escalonusd.org",High Schools (Public),9,12,Yes,No,No,No
Farmington Elementary,San Joaquin,Escalon Unified,"PO Box 68 Farmington, CA 95230-0068",(209) 886-5344,"Geogre Megenney, gmegenney@escalonusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Van Allen Elementary,San Joaquin,Escalon Unified,"21051 East Highway 120 Escalon, CA 95320-9798",(209) 838-2931,"Julio Zambrano, jzambrano@escalonusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Anthony C. Traina Elementary,San Joaquin,Jefferson Elementary,"4256 Windsong Dr. Tracy, CA 95377-8739",(209) 839-2379,"Mr. Ken Silman, (209) 839-2379, ksilman@jsdtracy.com",Elementary Schools (Public),K,8,Yes,No,No,No
Jefferson,San Joaquin,Jefferson Elementary,"7500 West Linne Rd. Tracy, CA 95304-9278",(209) 835-3053,"Mrs. Alyssa Wooten, (209) 835-4258, awooten@jsdtracy.com",Intermediate/Middle Schools (Public),5,8,Yes,No,No,No
Monticello Elementary,San Joaquin,Jefferson Elementary,"1001 Cambridge Pl. Tracy, CA 95377-7500",(209) 833-9300,"Mrs. Emily Stroup, (209) 833-9300, estroup@jsdtracy.com",Elementary Schools (Public),K,4,Yes,No,No,No
Tom Hawkins Elementary,San Joaquin,Jefferson Elementary,"475 Darlene Ln. Tracy, CA 95377-7039",(209) 839-2380,"Christina Orsi, (209) 839-2380, corsi@jsdtracy.com",Elementary Schools (Public),K,8,Yes,No,No,No
Altamont Elementary,San Joaquin,Lammersville Joint Unified,"452 West Saint Francis Ave. Mountain House, CA 95391-1190",(209) 836-7240,"Mrs. Jennifer Bogle, (209) 836-7400, jbogle@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Bethany Elementary,San Joaquin,Lammersville Joint Unified,"570 Escuela Dr. Mountain House, CA 95391-2051",(209) 836-7250,"Mrs. Debbie Wingo, (209) 836-7250, dwingo@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Hansen Elementary,San Joaquin,Lammersville Joint Unified,"1400 South Durant Terrace Mountain House, CA 95391",(209) 836-7260,"Corinne Pacheco, (209) 836-7260, cpacheco@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Julius Cordes Elementary,San Joaquin,Lammersville Joint Unified,"296 East Parco Ave. Mountain House, CA 95391",(209) 836-7400,"Mr. James Yeager, (209) 836-7400, jyeager@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Lammersville Elementary,San Joaquin,Lammersville Joint Unified,"16555 West Von Sosten Rd. Tracy, CA 95304-7220",(209) 836-7220,"Jennifer Duran, (209) 836-7220, jduran@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Mountain House High,San Joaquin,Lammersville Joint Unified,"111 De Anza Blvd. Mountain House, CA 95391",(209) 836-7460,"Mr. Ben Fobert, (209) 836-7460 Ext. 2342, bfobert@lammersvilleusd.net",High Schools (Public),9,12,Yes,No,No,No
Sebastian Questa Elementary,San Joaquin,Lammersville Joint Unified,"543 North Montebello St. Mountain House, CA 95391",(209) 836-7230,"Heather Sharp, (209) 836-7230, hsharp@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Wicklund Elementary,San Joaquin,Lammersville Joint Unified,"300 East Legacy Dr. Mountain House, CA 95391-1016",(209) 836-7200,"Mr. Travis Manley, (209) 836-7200, tmanley@lammersvilleusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Brookside,San Joaquin,Lincoln Unified,"2962 Brookside Rd. Stockton, CA 95219-7901",(209) 953-8641,"Katherine Bender, (209) 953-8642, kbender@lusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Claudia Landeen,San Joaquin,Lincoln Unified,"4128 Feather River Dr. Stockton, CA 95219-6541",(209) 953-8660,"Veronica Tigert, (209) 953-8660, vtigert@lusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Colonial Heights,San Joaquin,Lincoln Unified,"8135 Balboa Ave. Stockton, CA 95209-2920",(209) 953-8783,"Nicole Merolla, (209) 953-8783, nmerolla@lusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Don Riggio,San Joaquin,Lincoln Unified,"3110 Brookside Rd. Stockton, CA 95219-2357",(209) 953-8753,"Rebecca Mullen, rmullen@lusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
John R. Williams,San Joaquin,Lincoln Unified,"2450 Meadow Ave. Stockton, CA 95207-1331",(209) 953-8767,"Jennifer Heck, (209) 953-8768, jheck@lusd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Lincoln Elementary,San Joaquin,Lincoln Unified,"6910 N. Gettysburg Pl. Stockton, CA 95207-2513",(209) 953-8651,"Rebecca Sprinkle, rsprinkle@lusd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Lincoln High,San Joaquin,Lincoln Unified,"6844 Alexandria Pl. Stockton, CA 95207-2401",(209) 953-8920,"Lori Green, lgreen@lusd.net",High Schools (Public),9,12,Yes,No,No,No
Mable Barron,San Joaquin,Lincoln Unified,"6835 Cumberland Pl. Stockton, CA 95219-3238",(209) 953-8795,"Shane Conklin, sconklin@lusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Sierra Middle,San Joaquin,Lincoln Unified,"6768 Alexandria Pl. Stockton, CA 95207-3407",(209) 953-8748,"Scott Tatum, statum@lusd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Tully C. Knoles,San Joaquin,Lincoln Unified,"6511 Clarksburg Pl. Stockton, CA 95207-3222",(209) 953-8775,"Doyal Martin, (209) 953-8776, dmartin@lusd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Glenwood Elementary,San Joaquin,Linden Unified,"2005 North Alpine Rd. Stockton, CA 95215-9763",(209) 931-3229,"Wendy Heinze, (209) 931-3229, wheinze@lindenusd.com",Elementary Schools (Public),K,8,Yes,No,No,No
Linden Elementary,San Joaquin,Linden Unified,"18100 West Front St. Linden, CA 95236-9701",(209) 887-3600,"Mrs. Mary Evans, Administrator, (209) 887-3600, maevans@lindenusd.com",Elementary Schools (Public),K,4,Yes,No,No,No
Linden High,San Joaquin,Linden Unified,"18527 East Front St. Linden, CA 95236-9703",(209) 887-3073,"Ms. Lori Ruegsegger, (209) 887-3073, lruegsegger@lindenusd.com",High Schools (Public),9,12,Yes,No,No,No
Waterloo Elementary,San Joaquin,Linden Unified,"7007 North Pezzi Rd. Stockton, CA 95215-9113",(209) 931-0818,"Shannon Roberson, (209) 931-0818, sroberson@lindenusd.com",Intermediate/Middle Schools (Public),5,8,Yes,No,No,No
Waverly Elementary,San Joaquin,Linden Unified,"3507 Wilmarth Rd. Stockton, CA 95215-1114",(209) 931-0735,"Jessica Riley, (209) 931-0735 Ext. 1003, jriley@lindenusd.com",Elementary Schools (Public),K,8,Yes,No,No,No
Ansel Adams,San Joaquin,Lodi Unified,"9275 Glacier Point Dr. Stockton, CA 95212-3494",(209) 953-9601,"Michael Coughlin, (209) 953-9601, mcoughlin@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Bear Creek High,San Joaquin,Lodi Unified,"10555 Thornton Rd. Stockton, CA 95209-4100",(209) 953-8234,"Hillary Harrell, (209) 953-8234, hharrell@lodiusd.net",High Schools (Public),9,12,Yes,No,No,Yes
Beckman Elementary,San Joaquin,Lodi Unified,"2201 Scarborough Dr. Lodi, CA 95240-6600",(209) 331-7411,"Gina Azevedo, (209) 331-7411, gazevedo@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Christa McAuliffe Middle,San Joaquin,Lodi Unified,"3880 Iron Canyon Cir. Stockton, CA 95209-3612",(209) 953-9432,"Pierre Kirby, (209) 953-9432, pkirby@lodiusd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,Yes
Clairmont Elementary,San Joaquin,Lodi Unified,"8282 Lemans Ave. Stockton, CA 95210-2280",(209) 953-8267,"Michelle Bello, (209) 953-8267, mbello@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Clyde W. Needham Elementary,San Joaquin,Lodi Unified,"420 South Pleasant Ave. Lodi, CA 95240-4033",(209) 331-7375,"Richard Perez, (209) 331-7375, riperez@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Creekside Elementary,San Joaquin,Lodi Unified,"2515 Estate Dr. Stockton, CA 95209-1185",(209) 953-8285,"Yvette Shields, (209) 953-8285, yshields@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Davis Elementary,San Joaquin,Lodi Unified,"5224 East Morada Ln. Stockton, CA 95212-2411",(209) 953-8301,"Magenda Cruz, (209) 953-8301, macruz@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Delta Sierra Middle,San Joaquin,Lodi Unified,"2255 Wagner Heights Rd. Stockton, CA 95209-4700",(209) 953-8510,"Mr. Brad Watson, (209) 953-8513, bwatson@lodiusd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,Yes
Elkhorn,San Joaquin,Lodi Unified,"10505 North Davis Rd. Stockton, CA 95209-4327",(209) 953-8330,"Patricia White, (209) 953-8330, pwhite@lodiusd.net",Elementary Schools (Public),4,8,Yes,No,No,Yes
Ellerth E. Larson Elementary,San Joaquin,Lodi Unified,"2375 Giannoni Way Lodi, CA 95242-4795",(209) 331-8391,"Erin Church, (209) 331-8391, echurch@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Erma B. Reese Elementary,San Joaquin,Lodi Unified,"1800 West Elm St. Lodi, CA 95242-2917",(209) 331-7424,"Gary Mohr, (209) 331-7424, gmohr@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
George Lincoln Mosher,San Joaquin,Lodi Unified,"3220 Buddy Holly Dr. Stockton, CA 95212-2708",(209) 953-9298,"Patti Cuenin, (209) 953-9298, pcuenin@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
George Washington Elementary,San Joaquin,Lodi Unified,"831 West Lockeford St. Lodi, CA 95240-1633",(209) 331-7451,"Susan Petersen, (209) 331-7451, spetersen@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Heritage Elementary,San Joaquin,Lodi Unified,"509 Eden St. Lodi, CA 95240-4207",(209) 331-7334,"Alberto Velarde, (209) 331-7334, avelarde@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Houston,San Joaquin,Lodi Unified,"4600 East Acampo Rd. Acampo, CA 95220-9601",(209) 331-7475,"Ms. Allison Gerrity, (209) 331-7475, agerrity@lodiusd.net",Elementary Schools (Public),K,8,Yes,No,No,Yes
John Muir Elementary,San Joaquin,Lodi Unified,"2303 Whistler Way Stockton, CA 95209-4157",(209) 953-8106,"Eric Collins, (209) 953-8106, ecollins@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Julia Morgan Elementary,San Joaquin,Lodi Unified,"3777 A. G. Spanos Blvd. Stockton, CA 95209-3780",(209) 953-8453,"Annette Roberts, (209) 953-8453, aroberts@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Lakewood Elementary,San Joaquin,Lodi Unified,"1100 North Ham Ln. Lodi, CA 95242-2322",(209) 331-7348,"Michelle Brown, (209) 331-7348, mbrown@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Lawrence Elementary,San Joaquin,Lodi Unified,"721 Calaveras St. Lodi, CA 95240-0628",(209) 331-7356,"Mr. Juan Carlos Villafana, (209) 331-7356, jvillafana@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Leroy Nichols Elementary,San Joaquin,Lodi Unified,"1301 South Crescent Ave. Lodi, CA 95240-6001",(209) 331-7378,"Lindsay Streeter, (209) 331-7378, lstreeter@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Live Oak Elementary,San Joaquin,Lodi Unified,"5099 East Bear Creek Rd. Lodi, CA 95240-7218",(209) 331-7370,"Rashelle Nuss, (209) 331-7370, rnuss@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Lockeford Elementary,San Joaquin,Lodi Unified,"19456 North Tully Rd. Lockeford, CA 95237-9752",(209) 727-7214,"Michael Rogers, (209) 727-7214, mirogers@lodiusd.net",Elementary Schools (Public),K,8,Yes,No,No,Yes
Lodi High,San Joaquin,Lodi Unified,"3 South Pacific Ave. Lodi, CA 95242-3020",(209) 331-7815,"Adam Auerbach, (209) 331-7815, aauerbach@lodiusd.net",High Schools (Public),9,12,Yes,No,No,Yes
Lodi Middle,San Joaquin,Lodi Unified,"945 South Ham Ln. Lodi, CA 95242-3822",(209) 331-7540,"Cassandra Iwamiya, (209) 331-7544, ciwamiya@lodiusd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,Yes
Lois E. Borchardt Elementary,San Joaquin,Lodi Unified,"375 Culbertson Dr. Lodi, CA 95240-8873",(209) 331-8212,"Julie Vaz, (209) 331-8212, jvaz@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Manlio Silva Elementary,San Joaquin,Lodi Unified,"6250 Scott Creek Dr. Stockton, CA 95219-7244",(209) 953-9302,"Tim Shepherd, (209) 953-9302, tshepherd@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Middle College High,San Joaquin,Lodi Unified,"5151 Pacific Ave. Stockton, CA 95207-6370",(209) 954-5790,"Mr. Julie Hummel, (209) 954-5790, jhummel@lodiusd.net",High Schools (Public),9,12,Yes,No,No,Yes
Millswood Middle,San Joaquin,Lodi Unified,"233 North Mills Ave. Lodi, CA 95242-2954",(209) 331-8332,"Ms. Erin Lenzi, (209) 331-8332, elenzi@lodiusd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,Yes
Morada Middle,San Joaquin,Lodi Unified,"5001 Eastview Dr. Stockton, CA 95212-2125",(209) 953-8490,"Janet Godina Perez, (209) 953-8492, jperez@lodiusd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,Yes
Oakwood Elementary,San Joaquin,Lodi Unified,"1315 Woodcreek Way Stockton, CA 95209-2050",(209) 953-8392,"Cassandra Sotelo, (209) 953-8392, csotelo@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Parklane Elementary,San Joaquin,Lodi Unified,"8405 Tam O'Shanter Dr. Stockton, CA 95210-2110",(209) 953-8410,"Dara Chhun, (209) 953-8410, dchhun@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Podesta Ranch Elementary,San Joaquin,Lodi Unified,"9950 Windmill Park Dr. Stockton, CA 95209-4326",(209) 953-8543,"Jann Lyall, (209) 953-8543, jlyall@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Ronald E. McNair High,San Joaquin,Lodi Unified,"9550 Ronald E. McNair Way Stockton, CA 95210-2800",(209) 953-9245,"Mr. Mark Dawson, (209) 953-9245, mdawson@lodiusd.net",High Schools (Public),9,12,Yes,No,No,Yes
Sutherland Elementary,San Joaquin,Lodi Unified,"550 Spring River Cir. Stockton, CA 95210-4479",(209) 953-8999,"Elizabeth Horton, (209) 953-8999, ehorton@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Tokay High,San Joaquin,Lodi Unified,"1111 West Century Blvd. Lodi, CA 95240-6605",(209) 331-7990,"Erik Sandstrom, (209) 331-7990, esandstrom@lodiusd.net",High Schools (Public),9,12,Yes,No,No,Yes
Victor Elementary,San Joaquin,Lodi Unified,"PO Box L Victor, CA 95253-9999",(209) 331-7441,"Ms. Allison Gerrity, (209) 331-7441, agerrity@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Vinewood Elementary,San Joaquin,Lodi Unified,"1600 West Tokay St. Lodi, CA 95242-3435",(209) 331-7445,"Ben Koh, (209) 331-7445, bkoh@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
Wagner-Holt Elementary,San Joaquin,Lodi Unified,"8778 Brattle Pl. Stockton, CA 95209-4850",(209) 953-8407,"Carmelita Goldsby, (209) 953-8408, cgoldsby@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Westwood Elementary,San Joaquin,Lodi Unified,"9444 Caywood Dr. Stockton, CA 95210-1500",(209) 953-8335,"Jaime Kite-Polinsky, (209) 953-8335, jpolinsky@lodiusd.net",Elementary Schools (Public),P,6,Yes,No,No,Yes
Woodbridge,San Joaquin,Lodi Unified,"1290 Lilac St. Lodi, CA 95242-9127",(209) 331-8160,"Neil Young, (209) 331-8160, nyoung@lodiusd.net",Elementary Schools (Public),K,6,Yes,No,No,Yes
August Knodt Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 938-6200,"Jillian Friend, (209) 938-6200, jfriend@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Brock Elliott Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7260,"Mr. David Silveira, dsilveira@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
East Union High,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7270,"Raul Mora, (209) 858-7270, rmora@musd.net",High Schools (Public),9,12,Yes,No,No,No
French Camp Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 938-6370,"Rene Knapp, (209) 938-6370, rknapp@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
George McParland Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7290,"Dale Borgeson, dborgeson@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
George Y. Komure Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 938-6320,"Jeff Podesto, (209) 938-6320, jpodesto@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Golden West Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7300,"Sherie Gates, sgates@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Great Valley Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 938-6300,"Jacalyn Davis, (209) 234-1130, jadavis@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Joseph Widmer Jr. Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 938-6340,"Ms. Kathy Brown-Snyder, katbrown@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Joshua Cowell Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7310,"Mrs. Christie Newman, (209) 858-7310, cnewman@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Lathrop Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95330-0032",(209) 858-7250,"Mrs. Debbie Ruger, druger@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Lathrop High,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95330-0032",(209) 938-6350,"Mr. Greg Leland, (209) 938-6350, gleland@musd.net",High Schools (Public),9,12,Yes,No,No,No
Lincoln Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7320,"Randi Sousa, (209) 858-7320, rasousa@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Manteca High,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7340,"Mr. Frank Gonzales, (209) 858-7340, fgonzales@musd.net",High Schools (Public),9,12,Yes,No,No,No
Mossdale Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 938-6285,"Susan Sanders, (209) 234-7112, ssanders@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Neil Hafley Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7215,"Lori Guzman-Alvarez, (209) 858-7215, lguzman@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
New Haven Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7360,"David O'Leary, doleary@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Nile Garden Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7370,"Deborah Noceti-Ward, dnoceti@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Sequoia Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7440,"Suzanne McCreath, (209) 858-7440, smccreath@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Shasta Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7400,"Mrs. Audrey Greene, (209) 858-7400, agreene@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Sierra High,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7410,"Mr. Steve Clark, (209) 858-7410, sclark@musd.net",High Schools (Public),9,12,Yes,No,No,No
Stella Brockman Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7200,"Mrs. Candace Espinola, (209) 858-7200, cespinola@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Veritas Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7390,"Tracie Crawford, (209) 825-3200, tcrawford@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Walter Woodward Elementary,San Joaquin,Manteca Unified,"PO Box 32 Manteca, CA 95336-0032",(209) 858-7430,"Mrs. Sherrie Jamero, (209) 858-7430, sjamero@musd.net",Elementary Schools (Public),K,8,Yes,No,No,No
